Arquivo,Similaridade_Byte_a_Byte(C_vs_Pil_%),Similaridade_HVS_%(Orig_vs_C),Energia_C(%),Energia_Pillow(%)
-0030_Grabrelief_Publius_Aiedius_Amphio_und_Frau_Aiedia_Altes_Museum_anagoria.pgm,100.00,99.97,99.89,99.89
26_colonna_traiana_da_estt_05.pgm,100.00,99.99,99.89,99.89
Altar_Domitius_Ahenobarbus_Louvre_n3.pgm,100.00,99.98,99.92,99.92
Athena_Giustiniani_Musei_Capitolini_MC278.pgm,100.00,99.99,99.80,99.80
Beethoven_bust_statue_by_Hagen.pgm,100.00,99.99,99.89,99.89
davi.pgm,100.00,99.98,99.94,99.94
dying_gaul.pgm,100.00,99.98,99.83,99.83
"Greco-Roman_male_torso_discovered_on_the_site_of_the_Odeon_of_Lyon_in_1964._Marble._Lyon,_Lugdunum._Photo,_Jamie_Mulherron.pgm",100.00,99.97,99.60,99.60
Hermes_Altemps_Inv8583.pgm,100.00,99.99,100.00,100.00
lena.pgm,100.00,99.98,99.96,99.96
Luk_Konstantyna_6DSCF0032.pgm,100.00,99.98,99.87,99.87
"Lupa_Capitolina,_Rome.pgm",100.00,99.96,99.74,99.74
Moses_San_Pietro_in_Vincoli.pgm,100.00,99.99,99.89,99.89
Napoleon_Bellagio.pgm,100.00,99.98,99.58,99.58
Panteón_Roma_1.pgm,100.00,99.98,99.98,99.98
Pirro_-_Marte.pgm,100.00,99.99,100.00,100.00
Statue-Augustus.pgm,100.00,99.98,99.85,99.85
Temple_of_Portunus.pgm,100.00,99.98,99.77,99.77
treasueresifnus.pgm,100.00,99.96,99.64,99.64
Woman_chiton_Musei_Capitolini.pgm,100.00,99.97,99.83,99.83
